CustomerID,FirstName,LastName,Email,Phone,Gender,DateOfBirth,LoyaltyPoints,FavoriteStore,FavoriteCategory
7be0ad5a,James,Barton,xhoffman@yahoo.com,150.078.0371x00769,Male,1962-05-04,3452,e22e516f,Accessories
b49a5a19,Amy,Fry,anthonystout@hotmail.com,762.177.6711x97445,Other,1968-03-22,3016,6d63ff7d,Men
16a2859a,Laura,Williams,april48@hotmail.com,267-032-5092x8084,Other,1962-08-19,2561,3bbe9916,Women
e4bbc78c,Richard,Clark,nancyrojas@hopkins.com,(436)499-1391,Male,1964-01-23,330,1acff704,Women
004373c1,April,Tucker,bryan45@morales.biz,(260)024-9932x97590,Female,1965-06-28,3179,f8f470fa,Accessories
ecd53c67,Fred,Washington,allen26@jones.com,+1-578-408-9592x89594,Female,1986-11-07,967,3f037460,Men
0ed95e84,Sarah,Acosta,ballardandrew@hotmail.com,+1-312-800-9414x4244,Male,1982-11-21,4763,6ff839da,Men
9d7752c7,Casey,Martin,qstanley@hotmail.com,459-570-6537,Other,1965-12-08,4269,085e52e1,Men
50baac6d,Robert,Gallegos,scott94@yahoo.com,268-287-8310x916,Male,1983-01-28,2908,3b516372,Men
c8d09f55,Derrick,Hurst,juliesoto@watson-jenkins.com,692-015-6025x01877,Other,1992-09-13,3880,2ad748be,Women
09d62a2b,Gregory,Mora,hernandezjimmy@gmail.com,(848)536-4396x5791,Male,1964-07-08,1538,b57ac2e6,Men
00deea70,Michael,Lam,michael94@hotmail.com,+1-451-797-0432x10845,Male,1961-12-31,338,b34c97c1,Women
c5ea49db,William,Powers,michael45@wyatt.com,887-246-7949x40308,Female,2001-01-05,2080,fee493e0,Men
a18dd2a8,Tracy,Phillips,hdavis@martin-bradley.com,151-590-8172x76274,Male,1966-08-02,3171,2e2eeb67,Men
32dd8327,Crystal,Cooke,darryl03@lynn.info,832.320.1228,Male,1993-04-16,3202,ed01bb88,Accessories
99860d90,Ashley,Smith,hunter07@avila.com,2521937389,Other,1978-12-11,3965,c885e976,Men
40cc4dbd,Mariah,Brown,walkerryan@garcia-reynolds.com,+1-411-174-0623x379,Male,2000-01-29,213,fb004cde,Accessories
4d2c552d,Robert,Brown,armstrongcharles@herring-adams.biz,001-947-926-8795x79048,Female,1969-05-27,3795,45d93829,Accessories
0f0d752f,Steven,Rogers,ecole@yahoo.com,001-677-607-5957x974,Female,1982-07-13,4439,34f9ccf2,Women
916c0d90,Jennifer,Ryan,mdiaz@hayden.com,980.799.8578,Other,1970-06-26,1258,37e3d5d0,Men
f604db8c,Derek,Heath,sylvia47@yahoo.com,(805)058-3141x7917,Female,1992-07-11,1421,ec65962b,Men
3ca0b145,Ashley,Silva,deleonerin@ruiz-craig.com,+1-774-035-9494x98354,Female,1974-05-10,617,01d1c344,Women
2ff2c17d,Jon,Brown,bobby26@simmons-ross.com,965-156-5960x00245,Female,1953-04-28,367,f00a8726,Women
1af94202,Melissa,Bradley,vanessawilliams@yahoo.com,691-059-8729x953,Female,1949-03-28,282,8e2322b1,Women
be688f67,Lawrence,Peters,romerostephen@shannon.net,483.992.5475x5540,Female,1954-08-06,1152,fcd2f9e4,Women
d895e494,Richard,Ortiz,hamptonashley@cole.com,869.170.7038x121,Male,1972-04-06,1574,721d67ef,Women
a673676d,Douglas,Thompson,ronald37@hotmail.com,(191)107-6528,Other,1992-06-28,4537,9b027e6b,Accessories
5d7d62e8,Alfred,Henderson,yalexander@wilson-thompson.org,072.765.4696x93190,Male,1986-12-14,3218,52fe6a4e,Accessories
1c2a5802,Sheila,Calhoun,burgessjennifer@suarez.info,549-858-8875x89774,Male,1990-12-31,511,4228f203,Accessories
6f4e099b,Jaclyn,Howe,gonzalezlisa@mejia.net,851-550-4417,Female,1975-08-30,1574,26bb5008,Accessories
a2992c62,Michael,Parker,pross@garner.com,140-671-3845x3512,Female,1976-12-02,4652,a485afef,Men
6cdef8c9,Crystal,Miller,charris@martinez-woodard.biz,697.930.3588x40100,Other,1956-08-07,4358,1c2828a9,Men
5bc11b43,Randy,Morales,avaughn@donaldson-burns.com,773.669.5200,Other,1994-01-21,3281,1020d933,Men
1bbb242b,David,Jones,stevensjon@mcguire-matthews.net,001-729-301-0378x0004,Male,1953-09-26,3132,bbde41e5,Accessories
d435a17b,Ana,Schwartz,kathleen77@novak-cox.info,875-611-1438,Male,2003-07-30,4474,99123e7c,Accessories
4dd179d5,Danny,Foster,harry27@johnson.com,001-689-794-7104x85000,Other,1959-03-19,377,6fb418c7,Accessories
14c2b3cd,Thomas,Townsend,burtonlogan@hotmail.com,(415)789-1918,Other,1999-08-24,2511,15ba0dcb,Accessories
ac638eb1,Tammy,West,hortiz@allen.biz,001-461-004-3878x9856,Other,1988-06-10,4590,8fb02246,Women
1decaf3a,Christine,Dixon,gfleming@yahoo.com,(660)304-6843x96490,Other,1960-06-28,4672,4cfd9487,Women
ffb78509,Justin,Saunders,keithjackson@hotmail.com,001-216-910-5290x259,Female,1995-01-27,1294,4bdfe513,Men
7cd21ae6,Carol,Turner,susanjensen@yahoo.com,731-976-3873x01824,Other,1978-05-07,4401,5416d4ae,Women
5ed51127,Katherine,Hubbard,daniel90@moore.org,145.520.9541,Female,1988-08-20,3393,ab781b21,Accessories
3603237b,Thomas,Hall,edavid@welch-snyder.biz,035.535.7981,Male,1996-07-26,2228,fea495c4,Men
7f92f8b4,Alexa,Schmidt,snyderkristina@hotmail.com,001-174-077-6468x61625,Male,1982-03-28,907,7b88547f,Accessories
11445aef,Kimberly,Kelly,raytravis@barnes.com,+1-285-794-3279,Male,1970-07-18,2886,d1b19aa4,Men
2e0bf12f,Timothy,Simpson,gbutler@williams-joseph.com,947.250.1380,Female,1964-10-02,4516,e878e716,Women
91971e6c,Justin,Fletcher,zacharyellison@hotmail.com,290.616.8589,Female,1984-07-14,1229,6670bd0c,Women
dacd234f,Hannah,Torres,brewerdenise@smith.com,(835)162-5209,Other,1960-06-03,4397,0769c24f,Men
13c626fe,Natalie,Turner,juan92@gmail.com,+1-675-894-9951,Other,1949-11-09,2791,69e28110,Accessories
5f130c92,Frank,Rivera,marksmarilyn@weber-johnson.com,8322424574,Male,2002-10-17,160,f2e8e597,Women
aaf96225,Elizabeth,Sanchez,carlsoneric@martin.com,6364749675,Male,2005-02-21,4462,f5e31818,Men
f69539db,Michelle,Lewis,vgreen@callahan.info,+1-930-954-1751,Other,1972-12-01,2444,bbb68a2a,Men
938d071a,Alexis,Jones,mgilbert@gmail.com,006.344.3127,Female,2004-04-03,2794,2518b151,Women
